businessentityid,firstname,lastname,jobtitle,vacationhours,rn
232,Pat,Coleman,Janitor,89,2
229,Lori,Penor,Janitor,90,3
231,Jo,Berry,Janitor,91,4
228,Christian,Kleinerman,Maintenance Supervisor,92,1
20,Wanida,Benshoof,Marketing Assistant,41,1
17,Kevin,Brown,Marketing Assistant,42,2
19,Mary,Dempsey,Marketing Assistant,43,3
16,David,Bradley,Marketing Manager,40,1
21,Terry,Eminhizer,Marketing Specialist,44,1
22,Sariya,Harnpadoungsataya,Marketing Specialist,45,2
23,Mary,Gibson,Marketing Specialist,46,3
24,Jill,Williams,Marketing Specialist,47,4
18,John,Wood,Marketing Specialist,48,5
222,A. Scott,Wright,Master Scheduler,44,1
266,Peter,Connelly,Network Administrator,69,1
265,Ashvini,Sharma,Network Administrator,70,2
264,Stephanie,Conroy,Network Manager,68,1
274,Stephen,Jiang,North American Sales Manager,14,1
285,Syed,Abbas,Pacific Sales Manager,20,1
26,Peter,Krebs,Production Control Manager,43,1
47,Andrew,Hill,Production Supervisor - WC10,65,1
102,Zheng,Mu,Production Supervisor - WC10,66,2
87,Cristian,Petculescu,Production Supervisor - WC10,67,3
134,Eric,Gubbels,Production Supervisor - WC20,40,1
152,Yuhong,Li,Production Supervisor - WC20,41,2
180,Katie,McAskill-White,Production Supervisor - WC20,42,3
166,Jack,Richins,Production Supervisor - WC30,68,1
145,Cynthia,Randall,Production Supervisor - WC30,69,2
71,Michael,Ray,Production Supervisor - WC30,70,3
192,Brenda,Diaz,Production Supervisor - WC40,71,1
78,Reuben,D'sa,Production Supervisor - WC40,72,2
127,David,Hamilton,Production Supervisor - WC40,73,3
160,Jeff,Hay,Production Supervisor - WC45,74,1
186,Shane,Kim,Production Supervisor - WC45,75,2
205,Lori,Kane,Production Supervisor - WC45,76,3
108,Jinghao,Liu,Production Supervisor - WC50,77,1
93,Kok-Ho,Loh,Production Supervisor - WC50,78,2
55,Taylor,Maxwell,Production Supervisor - WC50,79,3
27,Jo,Brown,Production Supervisor - WC60,80,1
62,John,Campbell,Production Supervisor - WC60,81,2
40,JoLynn,Dobney,Production Supervisor - WC60,82,3
48,Ruth,Ellerbrock,Production Technician - WC10,83,1
50,Sidney,Higa,Production Technician - WC10,84,2
51,Jeffrey,Ford,Production Technician - WC10,85,3
52,Doris,Hartwig,Production Technician - WC10,86,4
53,Diane,Glimp,Production Technician - WC10,87,5
49,Barry,Johnson,Production Technician - WC10,88,6
54,Bonnie,Kearney,Production Technician - WC10,89,7
105,Kevin,Homer,Production Technician - WC10,90,8
107,Christopher,Hill,Production Technician - WC10,91,9
106,John,Kane,Production Technician - WC10,92,10
103,Ebru,Ersan,Production Technician - WC10,93,11
104,Mary,Baker,Production Technician - WC10,94,12
91,Kimberly,Zimmerman,Production Technician - WC10,95,13
89,Patrick,Wedge,Production Technician - WC10,96,14
90,Danielle,Tiedt,Production Technician - WC10,97,15
92,Tom,Vande Velde,Production Technician - WC10,98,16
88,Betsy,Stadick,Production Technician - WC10,99,17
139,Hung-Fu,Ting,Production Technician - WC20,0,1
141,Min,Su,Production Technician - WC20,1,2
143,Krishna,Sunkammurali,Production Technician - WC20,2,3
142,Olinda,Turner,Production Technician - WC20,3,4
136,Sylvester,Valdez,Production Technician - WC20,4,5
140,Prasanna,Samarawickrama,Production Technician - WC20,5,6
144,Paul,Singh,Production Technician - WC20,6,7
138,Samantha,Smith,Production Technician - WC20,7,8
137,Anibal,Sousa,Production Technician - WC20,8,9
135,Ivo,Salmre,Production Technician - WC20,9,10
154,Raymond,Sam,Production Technician - WC20,10,11
156,Lane,Sacksteder,Production Technician - WC20,11,12
157,Linda,Randall,Production Technician - WC20,12,13
159,Terrence,Earls,Production Technician - WC20,13,14
158,Shelley,Dyck,Production Technician - WC20,14,15
153,Hanying,Feng,Production Technician - WC20,15,16
155,Fadi,Fakhouri,Production Technician - WC20,16,17
183,Barbara,Decker,Production Technician - WC20,17,18
184,John,Chen,Production Technician - WC20,18,19
185,Stefen,Hesse,Production Technician - WC20,19,20
181,Michael,Hines,Production Technician - WC20,20,21
182,Nitin,Mirchandani,Production Technician - WC20,21,22
172,Marc,Ingle,Production Technician - WC30,22,1
175,Reed,Koch,Production Technician - WC30,23,2
177,Russell,King,Production Technician - WC30,24,3
167,David,Johnson,Production Technician - WC30,25,4
170,George,Li,Production Technician - WC30,26,5
178,John,Frum,Production Technician - WC30,27,6
174,Benjamin,Martin,Production Technician - WC30,28,7
176,David,Lawrence,Production Technician - WC30,29,8
179,Jan,Miksovsky,Production Technician - WC30,30,9
169,Susan,Metters,Production Technician - WC30,31,10
171,David,Yalovsky,Production Technician - WC30,32,11
173,Eugene,Zabokritski,Production Technician - WC30,33,12
168,Garrett,Young,Production Technician - WC30,34,13
150,Michael,Vanderhyde,Production Technician - WC30,35,14
146,Jian Shuo,Wang,Production Technician - WC30,36,15
147,Sandra,Reátegui Alayo,Production Technician - WC30,37,16
148,Jason,Watters,Production Technician - WC30,38,17
149,Andy,Ruth,Production Technician - WC30,39,18
151,Rostislav,Shabalin,Production Technician - WC30,40,19
72,Steven,Selikoff,Production Technician - WC30,41,20
73,Carole,Poland,Production Technician - WC30,42,21
74,Bjorn,Rettig,Production Technician - WC30,43,22
75,Michiko,Osada,Production Technician - WC30,44,23
76,Carol,Philips,Production Technician - WC30,45,24
77,Merav,Netz,Production Technician - WC30,46,25
194,Fred,Northup,Production Technician - WC40,47,1
197,Rajesh,Patel,Production Technician - WC40,48,2
198,Lorraine,Nay,Production Technician - WC40,49,3
202,Tawana,Nusbaum,Production Technician - WC40,50,4
203,Ken,Myer,Production Technician - WC40,51,5
193,Alejandro,McGuel,Production Technician - WC40,52,6
196,Shammi,Mohamed,Production Technician - WC40,53,7
199,Paula,Nartker,Production Technician - WC40,54,8
201,Brian,Lloyd,Production Technician - WC40,55,9
200,Frank,Lee,Production Technician - WC40,56,10
204,Gabe,Mares,Production Technician - WC40,57,11
195,Kevin,Liu,Production Technician - WC40,58,12
86,Ryan,Cornelsen,Production Technician - WC40,59,13
79,Eric,Brown,Production Technician - WC40,60,14
83,Patrick,Cook,Production Technician - WC40,61,15
82,Jack,Creasey,Production Technician - WC40,62,16
85,Brian,Goldstein,Production Technician - WC40,63,17
81,Mihail,Frintu,Production Technician - WC40,64,18
80,Sandeep,Kaliyath,Production Technician - WC40,65,19
84,Frank,Martinez,Production Technician - WC40,66,20
132,Nicole,Holliday,Production Technician - WC40,67,21
128,Paul,Komosinski,Production Technician - WC40,68,22
129,Gary,Yukish,Production Technician - WC40,69,23
133,Michael,Rothkugel,Production Technician - WC40,70,24
130,Rob,Caron,Production Technician - WC40,71,25
131,Baris,Cetinok,Production Technician - WC40,72,26
164,Andrew,Cencini,Production Technician - WC45,73,1
161,Kirk,Koenigsbauer,Production Technician - WC45,74,2
162,Laura,Steele,Production Technician - WC45,75,3
165,Chris,Preston,Production Technician - WC45,76,4
163,Alex,Nayberg,Production Technician - WC45,77,5
191,Lionel,Penuchot,Production Technician - WC45,78,6
187,Yvonne,McKay,Production Technician - WC45,79,7
188,Douglas,Hite,Production Technician - WC45,80,8
189,Janeth,Esteves,Production Technician - WC45,81,9
190,Robert,Rounthwaite,Production Technician - WC45,82,10
210,Belinda,Newman,Production Technician - WC45,83,11
206,Stuart,Munson,Production Technician - WC45,84,12
207,Greg,Alderson,Production Technician - WC45,85,13
208,Scott,Gode,Production Technician - WC45,86,14
209,Kathie,Flood,Production Technician - WC45,87,15
97,Mandar,Samant,Production Technician - WC50,0,1
95,Jim,Scardelis,Production Technician - WC50,1,2
99,Nuan,Yu,Production Technician - WC50,2,3
101,Houman,Pournasseh,Production Technician - WC50,3,4
98,Sameer,Tejani,Production Technician - WC50,4,5
96,Elizabeth,Keyser,Production Technician - WC50,5,6
94,Russell,Hunter,Production Technician - WC50,6,7
100,Lolan,Song,Production Technician - WC50,7,8
61,Diane,Tibbott,Production Technician - WC50,8,9
56,Denise,Smith,Production Technician - WC50,9,10
57,Frank,Miller,Production Technician - WC50,10,11
58,Kendall,Keil,Production Technician - WC50,11,12
59,Bob,Hohman,Production Technician - WC50,12,13
60,Pete,Male,Production Technician - WC50,13,14
118,Don,Hall,Production Technician - WC50,88,15
120,Kitti,Lertpiriyasuwat,Production Technician - WC50,89,16
110,Jun,Cao,Production Technician - WC50,90,17
112,John,Evans,Production Technician - WC50,91,18
115,Angela,Barbariol,Production Technician - WC50,92,19
111,Suroor,Fatima,Production Technician - WC50,93,20
119,Michael,Entin,Production Technician - WC50,94,21
109,Alice,Ciccu,Production Technician - WC50,95,22
113,Linda,Moschell,Production Technician - WC50,96,23
114,Mindaugas,Krapauskas,Production Technician - WC50,97,24
116,Michael,Patten,Production Technician - WC50,98,25
117,Chad,Niswonger,Production Technician - WC50,99,26
30,Britta,Simon,Production Technician - WC60,14,1
34,Suchitra,Mohan,Production Technician - WC60,15,2
37,Chris,Okelberry,Production Technician - WC60,16,3
33,Annik,Stahl,Production Technician - WC60,17,4
31,Margie,Shoop,Production Technician - WC60,18,5
29,Mark,McArthur,Production Technician - WC60,19,6
36,Jose,Lugo,Production Technician - WC60,20,7
28,Guy,Gilbert,Production Technician - WC60,21,8
35,Brandon,Heidepriem,Production Technician - WC60,22,9
32,Rebecca,Laszlo,Production Technician - WC60,23,10
38,Kim,Abercrombie,Production Technician - WC60,24,11
39,Ed,Dudenhoefer,Production Technician - WC60,25,12
64,Michael,Zwilling,Production Technician - WC60,26,13
68,Charles,Fitzgerald,Production Technician - WC60,27,14
66,Karan,Khanna,Production Technician - WC60,28,15
65,Randy,Reeves,Production Technician - WC60,29,16
63,Maciej,Dusza,Production Technician - WC60,30,17
69,Steve,Masters,Production Technician - WC60,31,18
67,Jay,Adams,Production Technician - WC60,32,19
70,David,Ortiz,Production Technician - WC60,33,20
43,Nancy,Anderson,Production Technician - WC60,34,21
41,Bryan,Baker,Production Technician - WC60,35,22
46,Eugene,Kogan,Production Technician - WC60,36,23
45,Thomas,Michaels,Production Technician - WC60,37,24
44,Simon,Rapier,Production Technician - WC60,38,25
42,James,Kramer,Production Technician - WC60,39,26
260,Annette,Hill,Purchasing Assistant,50,1
261,Reinout,Hillmann,Purchasing Assistant,51,2
250,Sheela,Word,Purchasing Manager,49,1
211,Hazem,Abolrous,Quality Assurance Manager,80,1
212,Peng,Wu,Quality Assurance Supervisor,81,1
216,Sean,Alexander,Quality Assurance Technician,82,1
215,Mark,Harrington,Quality Assurance Technician,83,2
214,Andreas,Berglund,Quality Assurance Technician,84,3
213,Sootha,Charncherngkha,Quality Assurance Technician,85,4
240,Willis,Johnson,Recruiter,49,1
238,Vidur,Luthra,Recruiter,50,2
8,Diane,Margheim,Research and Development Engineer,62,1
9,Gigi,Matthew,Research and Development Engineer,63,2
10,Michael,Raheem,Research and Development Manager,16,1
7,Dylan,Miller,Research and Development Manager,61,2
280,Pamela,Ansman-Wolfe,Sales Representative,22,1
283,David,Campbell,Sales Representative,23,2
277,Jillian,Carson,Sales Representative,24,3
281,Shu,Ito,Sales Representative,26,4
276,Linda,Mitchell,Sales Representative,27,5
279,Tsvi,Reiter,Sales Representative,29,6
282,José,Saraiva,Sales Representative,31,7
278,Garrett,Vargas,Sales Representative,33,8
290,Ranjit,Varkey Chudukatil,Sales Representative,34,9
288,Rachel,Valdez,Sales Representative,35,10
286,Lynn,Tsoflias,Sales Representative,36,11
289,Jae,Pak,Sales Representative,37,12
275,Michael,Blythe,Sales Representative,38,13
284,Tete,Mensa-Annan,Sales Representative,39,14
224,William,Vong,Scheduling Assistant,45,1
223,Sairaj,Uddin,Scheduling Assistant,46,2
225,Alan,Brewer,Scheduling Assistant,47,3
226,Brian,LaMee,Scheduling Assistant,48,4
14,Michael,Sullivan,Senior Design Engineer,3,1
11,Ovidiu,Cracium,Senior Tool Designer,7,1
4,Rob,Walters,Senior Tool Designer,48,2
125,Matthias,Berndt,Shipping and Receiving Clerk,94,1
123,Vamsi,Kuppa,Shipping and Receiving Clerk,95,2
121,Pilar,Ackerman,Shipping and Receiving Supervisor,93,1
126,Jimmy,Bischoff,Stocker,96,1
122,Susan,Eaton,Stocker,97,2
124,Kim,Ralls,Stocker,98,3
13,Janice,Galvin,Tool Designer,8,1
12,Thierry,D'Hers,Tool Designer,9,2
2,Terri,Duffy,Vice President of Engineering,1,1
25,James,Hamilton,Vice President of Production,64,1
273,Brian,Welcker,Vice President of Sales,10,1
