businessentityid,firstname,lastname,jobtitle,vacationhours,employee_with_fewest_vacation_hours_in_jobtitle
231,Jo,Berry,Janitor,91,230
228,Christian,Kleinerman,Maintenance Supervisor,92,228
20,Wanida,Benshoof,Marketing Assistant,41,20
17,Kevin,Brown,Marketing Assistant,42,20
19,Mary,Dempsey,Marketing Assistant,43,20
16,David,Bradley,Marketing Manager,40,16
21,Terry,Eminhizer,Marketing Specialist,44,21
22,Sariya,Harnpadoungsataya,Marketing Specialist,45,21
23,Mary,Gibson,Marketing Specialist,46,21
24,Jill,Williams,Marketing Specialist,47,21
18,John,Wood,Marketing Specialist,48,21
222,A. Scott,Wright,Master Scheduler,44,222
266,Peter,Connelly,Network Administrator,69,266
265,Ashvini,Sharma,Network Administrator,70,266
264,Stephanie,Conroy,Network Manager,68,264
274,Stephen,Jiang,North American Sales Manager,14,274
285,Syed,Abbas,Pacific Sales Manager,20,285
26,Peter,Krebs,Production Control Manager,43,26
47,Andrew,Hill,Production Supervisor - WC10,65,47
102,Zheng,Mu,Production Supervisor - WC10,66,47
87,Cristian,Petculescu,Production Supervisor - WC10,67,47
134,Eric,Gubbels,Production Supervisor - WC20,40,134
152,Yuhong,Li,Production Supervisor - WC20,41,134
180,Katie,McAskill-White,Production Supervisor - WC20,42,134
166,Jack,Richins,Production Supervisor - WC30,68,166
145,Cynthia,Randall,Production Supervisor - WC30,69,166
71,Michael,Ray,Production Supervisor - WC30,70,166
192,Brenda,Diaz,Production Supervisor - WC40,71,192
78,Reuben,D'sa,Production Supervisor - WC40,72,192
127,David,Hamilton,Production Supervisor - WC40,73,192
160,Jeff,Hay,Production Supervisor - WC45,74,160
186,Shane,Kim,Production Supervisor - WC45,75,160
205,Lori,Kane,Production Supervisor - WC45,76,160
108,Jinghao,Liu,Production Supervisor - WC50,77,108
93,Kok-Ho,Loh,Production Supervisor - WC50,78,108
55,Taylor,Maxwell,Production Supervisor - WC50,79,108
27,Jo,Brown,Production Supervisor - WC60,80,27
62,John,Campbell,Production Supervisor - WC60,81,27
40,JoLynn,Dobney,Production Supervisor - WC60,82,27
48,Ruth,Ellerbrock,Production Technician - WC10,83,48
50,Sidney,Higa,Production Technician - WC10,84,48
51,Jeffrey,Ford,Production Technician - WC10,85,48
52,Doris,Hartwig,Production Technician - WC10,86,48
53,Diane,Glimp,Production Technician - WC10,87,48
49,Barry,Johnson,Production Technician - WC10,88,48
54,Bonnie,Kearney,Production Technician - WC10,89,48
105,Kevin,Homer,Production Technician - WC10,90,48
107,Christopher,Hill,Production Technician - WC10,91,48
106,John,Kane,Production Technician - WC10,92,48
103,Ebru,Ersan,Production Technician - WC10,93,48
104,Mary,Baker,Production Technician - WC10,94,48
91,Kimberly,Zimmerman,Production Technician - WC10,95,48
89,Patrick,Wedge,Production Technician - WC10,96,48
90,Danielle,Tiedt,Production Technician - WC10,97,48
92,Tom,Vande Velde,Production Technician - WC10,98,48
88,Betsy,Stadick,Production Technician - WC10,99,48
139,Hung-Fu,Ting,Production Technician - WC20,0,139
141,Min,Su,Production Technician - WC20,1,139
143,Krishna,Sunkammurali,Production Technician - WC20,2,139
142,Olinda,Turner,Production Technician - WC20,3,139
136,Sylvester,Valdez,Production Technician - WC20,4,139
140,Prasanna,Samarawickrama,Production Technician - WC20,5,139
144,Paul,Singh,Production Technician - WC20,6,139
138,Samantha,Smith,Production Technician - WC20,7,139
137,Anibal,Sousa,Production Technician - WC20,8,139
135,Ivo,Salmre,Production Technician - WC20,9,139
154,Raymond,Sam,Production Technician - WC20,10,139
156,Lane,Sacksteder,Production Technician - WC20,11,139
157,Linda,Randall,Production Technician - WC20,12,139
159,Terrence,Earls,Production Technician - WC20,13,139
158,Shelley,Dyck,Production Technician - WC20,14,139
153,Hanying,Feng,Production Technician - WC20,15,139
155,Fadi,Fakhouri,Production Technician - WC20,16,139
183,Barbara,Decker,Production Technician - WC20,17,139
184,John,Chen,Production Technician - WC20,18,139
185,Stefen,Hesse,Production Technician - WC20,19,139
181,Michael,Hines,Production Technician - WC20,20,139
182,Nitin,Mirchandani,Production Technician - WC20,21,139
172,Marc,Ingle,Production Technician - WC30,22,172
175,Reed,Koch,Production Technician - WC30,23,172
177,Russell,King,Production Technician - WC30,24,172
167,David,Johnson,Production Technician - WC30,25,172
170,George,Li,Production Technician - WC30,26,172
178,John,Frum,Production Technician - WC30,27,172
174,Benjamin,Martin,Production Technician - WC30,28,172
176,David,Lawrence,Production Technician - WC30,29,172
179,Jan,Miksovsky,Production Technician - WC30,30,172
169,Susan,Metters,Production Technician - WC30,31,172
171,David,Yalovsky,Production Technician - WC30,32,172
173,Eugene,Zabokritski,Production Technician - WC30,33,172
168,Garrett,Young,Production Technician - WC30,34,172
150,Michael,Vanderhyde,Production Technician - WC30,35,172
146,Jian Shuo,Wang,Production Technician - WC30,36,172
147,Sandra,Reátegui Alayo,Production Technician - WC30,37,172
148,Jason,Watters,Production Technician - WC30,38,172
149,Andy,Ruth,Production Technician - WC30,39,172
151,Rostislav,Shabalin,Production Technician - WC30,40,172
72,Steven,Selikoff,Production Technician - WC30,41,172
73,Carole,Poland,Production Technician - WC30,42,172
74,Bjorn,Rettig,Production Technician - WC30,43,172
75,Michiko,Osada,Production Technician - WC30,44,172
76,Carol,Philips,Production Technician - WC30,45,172
77,Merav,Netz,Production Technician - WC30,46,172
194,Fred,Northup,Production Technician - WC40,47,194
197,Rajesh,Patel,Production Technician - WC40,48,194
198,Lorraine,Nay,Production Technician - WC40,49,194
202,Tawana,Nusbaum,Production Technician - WC40,50,194
203,Ken,Myer,Production Technician - WC40,51,194
193,Alejandro,McGuel,Production Technician - WC40,52,194
196,Shammi,Mohamed,Production Technician - WC40,53,194
199,Paula,Nartker,Production Technician - WC40,54,194
201,Brian,Lloyd,Production Technician - WC40,55,194
200,Frank,Lee,Production Technician - WC40,56,194
204,Gabe,Mares,Production Technician - WC40,57,194
195,Kevin,Liu,Production Technician - WC40,58,194
86,Ryan,Cornelsen,Production Technician - WC40,59,194
79,Eric,Brown,Production Technician - WC40,60,194
83,Patrick,Cook,Production Technician - WC40,61,194
82,Jack,Creasey,Production Technician - WC40,62,194
85,Brian,Goldstein,Production Technician - WC40,63,194
81,Mihail,Frintu,Production Technician - WC40,64,194
80,Sandeep,Kaliyath,Production Technician - WC40,65,194
84,Frank,Martinez,Production Technician - WC40,66,194
132,Nicole,Holliday,Production Technician - WC40,67,194
128,Paul,Komosinski,Production Technician - WC40,68,194
129,Gary,Yukish,Production Technician - WC40,69,194
133,Michael,Rothkugel,Production Technician - WC40,70,194
130,Rob,Caron,Production Technician - WC40,71,194
131,Baris,Cetinok,Production Technician - WC40,72,194
164,Andrew,Cencini,Production Technician - WC45,73,164
161,Kirk,Koenigsbauer,Production Technician - WC45,74,164
162,Laura,Steele,Production Technician - WC45,75,164
165,Chris,Preston,Production Technician - WC45,76,164
163,Alex,Nayberg,Production Technician - WC45,77,164
191,Lionel,Penuchot,Production Technician - WC45,78,164
187,Yvonne,McKay,Production Technician - WC45,79,164
188,Douglas,Hite,Production Technician - WC45,80,164
189,Janeth,Esteves,Production Technician - WC45,81,164
190,Robert,Rounthwaite,Production Technician - WC45,82,164
210,Belinda,Newman,Production Technician - WC45,83,164
206,Stuart,Munson,Production Technician - WC45,84,164
207,Greg,Alderson,Production Technician - WC45,85,164
208,Scott,Gode,Production Technician - WC45,86,164
209,Kathie,Flood,Production Technician - WC45,87,164
97,Mandar,Samant,Production Technician - WC50,0,97
95,Jim,Scardelis,Production Technician - WC50,1,97
99,Nuan,Yu,Production Technician - WC50,2,97
101,Houman,Pournasseh,Production Technician - WC50,3,97
98,Sameer,Tejani,Production Technician - WC50,4,97
96,Elizabeth,Keyser,Production Technician - WC50,5,97
94,Russell,Hunter,Production Technician - WC50,6,97
100,Lolan,Song,Production Technician - WC50,7,97
61,Diane,Tibbott,Production Technician - WC50,8,97
56,Denise,Smith,Production Technician - WC50,9,97
57,Frank,Miller,Production Technician - WC50,10,97
58,Kendall,Keil,Production Technician - WC50,11,97
59,Bob,Hohman,Production Technician - WC50,12,97
60,Pete,Male,Production Technician - WC50,13,97
118,Don,Hall,Production Technician - WC50,88,97
120,Kitti,Lertpiriyasuwat,Production Technician - WC50,89,97
110,Jun,Cao,Production Technician - WC50,90,97
112,John,Evans,Production Technician - WC50,91,97
115,Angela,Barbariol,Production Technician - WC50,92,97
111,Suroor,Fatima,Production Technician - WC50,93,97
119,Michael,Entin,Production Technician - WC50,94,97
109,Alice,Ciccu,Production Technician - WC50,95,97
113,Linda,Moschell,Production Technician - WC50,96,97
114,Mindaugas,Krapauskas,Production Technician - WC50,97,97
116,Michael,Patten,Production Technician - WC50,98,97
117,Chad,Niswonger,Production Technician - WC50,99,97
30,Britta,Simon,Production Technician - WC60,14,30
34,Suchitra,Mohan,Production Technician - WC60,15,30
37,Chris,Okelberry,Production Technician - WC60,16,30
33,Annik,Stahl,Production Technician - WC60,17,30
31,Margie,Shoop,Production Technician - WC60,18,30
29,Mark,McArthur,Production Technician - WC60,19,30
36,Jose,Lugo,Production Technician - WC60,20,30
28,Guy,Gilbert,Production Technician - WC60,21,30
35,Brandon,Heidepriem,Production Technician - WC60,22,30
32,Rebecca,Laszlo,Production Technician - WC60,23,30
38,Kim,Abercrombie,Production Technician - WC60,24,30
39,Ed,Dudenhoefer,Production Technician - WC60,25,30
64,Michael,Zwilling,Production Technician - WC60,26,30
68,Charles,Fitzgerald,Production Technician - WC60,27,30
66,Karan,Khanna,Production Technician - WC60,28,30
65,Randy,Reeves,Production Technician - WC60,29,30
63,Maciej,Dusza,Production Technician - WC60,30,30
69,Steve,Masters,Production Technician - WC60,31,30
67,Jay,Adams,Production Technician - WC60,32,30
70,David,Ortiz,Production Technician - WC60,33,30
43,Nancy,Anderson,Production Technician - WC60,34,30
41,Bryan,Baker,Production Technician - WC60,35,30
46,Eugene,Kogan,Production Technician - WC60,36,30
45,Thomas,Michaels,Production Technician - WC60,37,30
44,Simon,Rapier,Production Technician - WC60,38,30
42,James,Kramer,Production Technician - WC60,39,30
260,Annette,Hill,Purchasing Assistant,50,260
261,Reinout,Hillmann,Purchasing Assistant,51,260
250,Sheela,Word,Purchasing Manager,49,250
211,Hazem,Abolrous,Quality Assurance Manager,80,211
212,Peng,Wu,Quality Assurance Supervisor,81,212
216,Sean,Alexander,Quality Assurance Technician,82,216
215,Mark,Harrington,Quality Assurance Technician,83,216
214,Andreas,Berglund,Quality Assurance Technician,84,216
213,Sootha,Charncherngkha,Quality Assurance Technician,85,216
240,Willis,Johnson,Recruiter,49,240
238,Vidur,Luthra,Recruiter,50,240
8,Diane,Margheim,Research and Development Engineer,62,8
9,Gigi,Matthew,Research and Development Engineer,63,8
10,Michael,Raheem,Research and Development Manager,16,10
7,Dylan,Miller,Research and Development Manager,61,10
280,Pamela,Ansman-Wolfe,Sales Representative,22,280
283,David,Campbell,Sales Representative,23,280
277,Jillian,Carson,Sales Representative,24,280
281,Shu,Ito,Sales Representative,26,280
276,Linda,Mitchell,Sales Representative,27,280
279,Tsvi,Reiter,Sales Representative,29,280
282,José,Saraiva,Sales Representative,31,280
278,Garrett,Vargas,Sales Representative,33,280
290,Ranjit,Varkey Chudukatil,Sales Representative,34,280
288,Rachel,Valdez,Sales Representative,35,280
286,Lynn,Tsoflias,Sales Representative,36,280
289,Jae,Pak,Sales Representative,37,280
275,Michael,Blythe,Sales Representative,38,280
284,Tete,Mensa-Annan,Sales Representative,39,280
224,William,Vong,Scheduling Assistant,45,224
223,Sairaj,Uddin,Scheduling Assistant,46,224
225,Alan,Brewer,Scheduling Assistant,47,224
226,Brian,LaMee,Scheduling Assistant,48,224
14,Michael,Sullivan,Senior Design Engineer,3,14
11,Ovidiu,Cracium,Senior Tool Designer,7,11
4,Rob,Walters,Senior Tool Designer,48,11
125,Matthias,Berndt,Shipping and Receiving Clerk,94,125
123,Vamsi,Kuppa,Shipping and Receiving Clerk,95,125
121,Pilar,Ackerman,Shipping and Receiving Supervisor,93,121
126,Jimmy,Bischoff,Stocker,96,126
122,Susan,Eaton,Stocker,97,126
124,Kim,Ralls,Stocker,98,126
13,Janice,Galvin,Tool Designer,8,13
12,Thierry,D'Hers,Tool Designer,9,13
2,Terri,Duffy,Vice President of Engineering,1,2
25,James,Hamilton,Vice President of Production,64,25
273,Brian,Welcker,Vice President of Sales,10,273
