businessentityid,nationalidnumber,jobtitle,hiredate,vacationhours,sickleavehours,min_vacation_hours
249,121491555,Finance Manager,2008-12-25,55,47,55
237,416679555,Human Resources Administrative Assistant,2009-02-06,52,46,52
236,476980013,Human Resources Administrative Assistant,2009-02-25,53,46,52
235,535145551,Human Resources Manager,2008-12-06,54,47,54
263,441044382,Information Services Manager,2008-12-11,65,52,65
230,28414965,Janitor,2010-03-05,88,64,88
232,646304055,Janitor,2010-01-27,89,64,88
229,879334904,Janitor,2010-02-16,90,65,88
231,153479919,Janitor,2010-03-07,91,65,88
228,553069203,Maintenance Supervisor,2008-12-14,92,66,92
20,323403273,Marketing Assistant,2011-01-07,41,40,41
17,253022876,Marketing Assistant,2007-01-26,42,41,41
19,52541318,Marketing Assistant,2011-02-14,43,41,41
16,24756624,Marketing Manager,2007-12-20,40,40,40
21,243322160,Marketing Specialist,2009-03-02,44,42,44
22,95958330,Marketing Specialist,2008-12-12,45,42,44
23,767955365,Marketing Specialist,2009-01-12,46,43,44
24,72636981,Marketing Specialist,2009-01-18,47,43,44
18,222969461,Marketing Specialist,2011-02-07,48,44,44
222,685233686,Master Scheduler,2008-12-12,44,42,44
266,672243793,Network Administrator,2009-02-23,69,54,69
265,749389530,Network Administrator,2008-12-04,70,55,69
264,858323870,Network Manager,2009-02-04,68,54,68
274,502097814,North American Sales Manager,2011-01-04,14,27,14
285,481044938,Pacific Sales Manager,2013-03-14,20,30,20
26,277173473,Production Control Manager,2008-12-01,43,41,43
47,33237992,Production Supervisor - WC10,2009-02-22,65,52,65
102,360868122,Production Supervisor - WC10,2008-12-03,66,53,65
87,7201901,Production Supervisor - WC10,2008-12-22,67,53,65
134,45615666,Production Supervisor - WC20,2009-01-14,40,40,40
152,319472946,Production Supervisor - WC20,2009-02-01,41,40,40
180,862951447,Production Supervisor - WC20,2009-02-20,42,41,40
166,60114406,Production Supervisor - WC30,2009-02-21,68,54,68
145,386315192,Production Supervisor - WC30,2009-01-27,69,54,68
71,578935259,Production Supervisor - WC30,2009-02-15,70,55,68
192,634335025,Production Supervisor - WC40,2009-03-05,71,55,71
78,370989364,Production Supervisor - WC40,2008-12-15,72,56,71
127,750905084,Production Supervisor - WC40,2009-01-03,73,56,71
160,712885347,Production Supervisor - WC45,2009-01-21,74,57,74
186,551834634,Production Supervisor - WC45,2009-02-08,75,57,74
205,332349500,Production Supervisor - WC45,2009-02-26,76,58,74
108,630184120,Production Supervisor - WC50,2008-12-08,77,58,77
93,778552911,Production Supervisor - WC50,2008-12-27,78,59,77
55,233069302,Production Supervisor - WC50,2008-02-08,79,59,77
27,446466105,Production Supervisor - WC60,2008-02-27,80,60,80
62,494170342,Production Supervisor - WC60,2008-03-17,81,60,80
40,309738752,Production Supervisor - WC60,2007-12-26,82,61,80
48,690627818,Production Technician - WC10,2008-01-06,83,61,83
50,844973625,Production Technician - WC10,2008-02-02,84,62,83
51,132674823,Production Technician - WC10,2008-02-20,85,62,83
52,565090917,Production Technician - WC10,2008-03-10,86,63,83
53,9659517,Production Technician - WC10,2008-03-28,87,63,83
49,912265825,Production Technician - WC10,2008-01-07,88,64,83
54,109272464,Production Technician - WC10,2010-01-01,89,64,83
105,801365500,Production Technician - WC10,2009-12-25,90,65,83
107,393421437,Production Technician - WC10,2010-02-08,91,65,83
106,561196580,Production Technician - WC10,2010-02-27,92,66,83
103,455563743,Production Technician - WC10,2009-12-06,93,66,83
104,717889520,Production Technician - WC10,2009-12-25,94,67,83
91,390124815,Production Technician - WC10,2010-01-12,95,67,83
89,90888098,Production Technician - WC10,2010-02-01,96,68,83
90,82638150,Production Technician - WC10,2010-02-20,97,68,83
92,826454897,Production Technician - WC10,2010-03-10,98,69,83
88,294148271,Production Technician - WC10,2009-12-18,99,69,83
139,113393530,Production Technician - WC20,2010-01-06,0,20,0
141,872923042,Production Technician - WC20,2010-01-24,1,20,0
143,56772045,Production Technician - WC20,2010-02-13,2,21,0
142,163347032,Production Technician - WC20,2010-03-04,3,21,0
136,701156975,Production Technician - WC20,2009-12-11,4,22,0
140,339233463,Production Technician - WC20,2010-01-22,5,22,0
144,886023130,Production Technician - WC20,2009-01-17,6,23,0
138,25011600,Production Technician - WC20,2009-02-04,7,23,0
137,63761469,Production Technician - WC20,2009-02-23,8,24,0
135,964089218,Production Technician - WC20,2008-12-04,9,24,0
154,97728960,Production Technician - WC20,2008-12-23,10,25,0
156,322160340,Production Technician - WC20,2009-01-11,11,25,0
157,812797414,Production Technician - WC20,2009-02-03,12,26,0
159,404159499,Production Technician - WC20,2009-02-16,13,26,0
158,300946911,Production Technician - WC20,2009-03-07,14,27,0
153,568596888,Production Technician - WC20,2008-12-16,15,27,0
155,212801092,Production Technician - WC20,2009-01-04,16,28,0
183,969985265,Production Technician - WC20,2009-01-22,17,28,0
184,305522471,Production Technician - WC20,2009-02-09,18,29,0
185,621932914,Production Technician - WC20,2009-02-28,19,29,0
181,545337468,Production Technician - WC20,2008-12-09,20,30,0
182,368920189,Production Technician - WC20,2008-12-28,21,30,0
172,364818297,Production Technician - WC30,2009-01-16,22,31,22
175,259388196,Production Technician - WC30,2009-02-02,23,31,22
177,551346974,Production Technician - WC30,2009-02-21,24,32,22
167,498138869,Production Technician - WC30,2008-12-02,25,32,22
170,476115505,Production Technician - WC30,2008-12-21,26,33,22
178,568626529,Production Technician - WC30,2009-03-03,27,33,22
174,585408256,Production Technician - WC30,2009-01-27,28,34,22
176,860123571,Production Technician - WC30,2009-02-14,29,34,22
179,587567941,Production Technician - WC30,2009-03-05,30,35,22
169,351069889,Production Technician - WC30,2008-12-14,31,35,22
171,746373306,Production Technician - WC30,2009-01-02,32,36,22
173,87268837,Production Technician - WC30,2009-01-21,33,36,22
168,271438431,Production Technician - WC30,2008-12-07,34,37,22
150,878395493,Production Technician - WC30,2009-02-26,35,37,22
146,160739235,Production Technician - WC30,2008-12-07,36,38,22
147,604664374,Production Technician - WC30,2008-12-26,37,38,22
148,733022683,Production Technician - WC30,2009-01-14,38,39,22
149,764853868,Production Technician - WC30,2009-01-31,39,39,22
151,993310268,Production Technician - WC30,2009-02-19,40,40,22
72,443968955,Production Technician - WC30,2008-12-01,41,40,22
73,138280935,Production Technician - WC30,2008-12-19,42,41,22
74,420023788,Production Technician - WC30,2009-01-07,43,41,22
75,363996959,Production Technician - WC30,2009-01-26,44,42,22
76,227319668,Production Technician - WC30,2009-02-12,45,42,22
77,301435199,Production Technician - WC30,2009-03-03,46,43,22
194,295971920,Production Technician - WC40,2008-12-12,47,43,47
197,632092621,Production Technician - WC40,2008-12-31,48,44,47
198,19312190,Production Technician - WC40,2009-01-04,49,44,47
202,436757988,Production Technician - WC40,2009-02-05,50,45,47
203,693168613,Production Technician - WC40,2009-02-24,51,45,47
193,761597760,Production Technician - WC40,2008-12-06,52,46,47
196,370487086,Production Technician - WC40,2008-12-24,53,46,47
199,992874797,Production Technician - WC40,2009-01-12,54,47,47
201,746201340,Production Technician - WC40,2009-01-29,55,47,47
200,749211824,Production Technician - WC40,2009-01-17,56,48,47
204,440379437,Production Technician - WC40,2009-03-08,57,48,47
195,918737118,Production Technician - WC40,2008-12-17,58,49,47
86,769680433,Production Technician - WC40,2009-01-05,59,49,47
79,697712387,Production Technician - WC40,2010-01-24,60,50,47
83,988315686,Production Technician - WC40,2010-02-12,61,50,47
82,58791499,Production Technician - WC40,2010-03-03,62,51,47
85,1662732,Production Technician - WC40,2009-12-11,63,51,47
81,413787783,Production Technician - WC40,2009-12-29,64,52,47
80,943170460,Production Technician - WC40,2010-01-17,65,52,47
84,947029962,Production Technician - WC40,2010-02-05,66,53,47
132,1300049,Production Technician - WC40,2009-02-22,67,53,47
128,384162788,Production Technician - WC40,2008-12-04,68,54,47
129,502058701,Production Technician - WC40,2008-12-22,69,54,47
133,830150469,Production Technician - WC40,2009-01-10,70,55,47
130,578953538,Production Technician - WC40,2009-02-13,71,55,47
131,273260055,Production Technician - WC40,2009-02-15,72,56,47
164,65848458,Production Technician - WC45,2009-03-06,73,56,73
161,275962311,Production Technician - WC45,2008-12-15,74,57,73
162,514829225,Production Technician - WC45,2009-01-03,75,57,73
165,539490372,Production Technician - WC45,2009-01-22,76,58,73
163,377784364,Production Technician - WC45,2009-02-08,77,58,73
191,399658727,Production Technician - WC45,2009-02-26,78,59,73
187,713403643,Production Technician - WC45,2008-12-09,79,59,73
188,435234965,Production Technician - WC45,2008-12-27,80,60,73
189,187369436,Production Technician - WC45,2009-01-15,81,60,73
190,456839592,Production Technician - WC45,2009-02-02,82,61,73
210,20244403,Production Technician - WC45,2009-02-20,83,61,73
206,835460180,Production Technician - WC45,2008-12-02,84,62,73
207,687685941,Production Technician - WC45,2008-12-02,85,62,73
208,199546871,Production Technician - WC45,2009-01-08,86,63,73
209,167554340,Production Technician - WC45,2009-01-27,87,63,73
97,370581729,Production Technician - WC50,2009-02-10,0,20,0
95,674171828,Production Technician - WC50,2008-12-19,1,20,0
99,431859843,Production Technician - WC50,2009-01-06,2,21,0
101,153288994,Production Technician - WC50,2009-01-25,3,21,0
98,152085091,Production Technician - WC50,2009-02-11,4,22,0
96,912141525,Production Technician - WC50,2009-03-02,5,22,0
94,718299860,Production Technician - WC50,2008-12-12,6,23,0
100,204035155,Production Technician - WC50,2009-01-12,7,23,0
61,92096924,Production Technician - WC50,2009-01-18,8,24,0
56,652535724,Production Technician - WC50,2009-02-05,9,24,0
57,10708100,Production Technician - WC50,2009-02-23,10,25,0
58,571658797,Production Technician - WC50,2008-12-05,11,25,0
59,843479922,Production Technician - WC50,2008-12-24,12,26,0
60,827686041,Production Technician - WC50,2009-01-11,13,26,0
118,222400012,Production Technician - WC50,2009-02-13,88,64,0
120,211789056,Production Technician - WC50,2009-03-04,89,64,0
110,857651804,Production Technician - WC50,2008-12-14,90,65,0
112,981597097,Production Technician - WC50,2009-01-01,91,65,0
115,563680513,Production Technician - WC50,2009-01-20,92,66,0
111,415823523,Production Technician - WC50,2008-12-17,93,66,0
119,334834274,Production Technician - WC50,2009-02-25,94,67,0
109,113695504,Production Technician - WC50,2008-12-07,95,67,0
113,54759846,Production Technician - WC50,2008-12-25,96,68,0
114,342607223,Production Technician - WC50,2009-01-13,97,68,0
116,398737566,Production Technician - WC50,2009-01-31,98,69,0
117,599942664,Production Technician - WC50,2009-02-18,99,69,0
30,410742000,Production Technician - WC60,2009-01-29,14,27,14
34,754372876,Production Technician - WC60,2009-02-16,15,27,14
37,442121106,Production Technician - WC60,2009-03-07,16,28,14
33,801758002,Production Technician - WC60,2008-12-17,17,28,14
31,750246141,Production Technician - WC60,2009-01-04,18,29,14
29,948320468,Production Technician - WC60,2009-01-23,19,29,14
36,788456780,Production Technician - WC60,2009-02-10,20,30,14
28,14417807,Production Technician - WC60,2006-06-30,21,30,14
35,999440576,Production Technician - WC60,2009-02-08,22,31,14
32,330211482,Production Technician - WC60,2008-12-29,23,31,14
38,6298838,Production Technician - WC60,2010-01-16,24,32,14
39,461786517,Production Technician - WC60,2010-02-05,25,32,14
64,582347317,Production Technician - WC60,2010-02-23,26,33,14
68,537092325,Production Technician - WC60,2009-12-03,27,33,14
66,834186596,Production Technician - WC60,2009-12-22,28,34,14
65,8066363,Production Technician - WC60,2010-02-23,29,34,14
63,414476027,Production Technician - WC60,2010-01-29,30,35,14
69,752513276,Production Technician - WC60,2009-02-15,31,35,14
67,63179277,Production Technician - WC60,2009-03-05,32,36,14
70,36151748,Production Technician - WC60,2008-12-15,33,36,14
43,693325305,Production Technician - WC60,2009-01-02,34,37,14
41,458159238,Production Technician - WC60,2009-01-21,35,37,14
46,66073987,Production Technician - WC60,2009-02-08,36,38,14
45,500412746,Production Technician - WC60,2009-02-26,37,38,14
44,276751903,Production Technician - WC60,2008-12-08,38,39,14
42,339712426,Production Technician - WC60,2008-12-27,39,39,14
260,437296311,Purchasing Assistant,2010-12-06,50,45,50
261,280633567,Purchasing Assistant,2010-12-25,51,45,50
250,895209680,Purchasing Manager,2011-02-25,49,44,49
211,398223854,Quality Assurance Manager,2009-02-28,80,60,80
212,885055826,Quality Assurance Supervisor,2008-12-09,81,60,81
216,403414852,Quality Assurance Technician,2008-12-28,82,61,82
215,381772114,Quality Assurance Technician,2009-01-15,83,61,82
214,131471224,Quality Assurance Technician,2009-02-02,84,62,82
213,343861179,Quality Assurance Technician,2010-02-23,85,62,82
240,332040978,Recruiter,2008-12-13,49,44,49
238,264306399,Recruiter,2009-01-01,50,45,49
8,811994146,Research and Development Engineer,2008-12-29,62,51,62
9,658797903,Research and Development Engineer,2009-01-16,63,51,62
10,879342154,Research and Development Manager,2009-05-03,16,64,16
7,134969118,Research and Development Manager,2009-02-08,61,50,16
280,61161660,Sales Representative,2011-05-31,22,31,22
283,987554265,Sales Representative,2011-05-31,23,31,22
277,615389812,Sales Representative,2011-05-31,24,32,22
281,139397894,Sales Representative,2011-05-31,26,33,22
276,191644724,Sales Representative,2011-05-31,27,33,22
279,716374314,Sales Representative,2011-05-31,29,34,22
282,399771412,Sales Representative,2011-05-31,31,35,22
278,234474252,Sales Representative,2011-05-31,33,36,22
290,134219713,Sales Representative,2012-05-30,34,37,22
288,954276278,Sales Representative,2013-05-30,35,37,22
286,758596752,Sales Representative,2013-05-30,36,38,22
289,668991357,Sales Representative,2012-05-30,37,38,22
275,841560125,Sales Representative,2011-05-31,38,39,22
284,90836195,Sales Representative,2012-09-30,39,39,22
224,621209647,Scheduling Assistant,2009-01-07,45,42,45
223,981495526,Scheduling Assistant,2009-01-26,46,43,45
225,470689086,Scheduling Assistant,2009-02-13,47,43,45
226,368691270,Scheduling Assistant,2009-03-03,48,44,45
14,42487730,Senior Design Engineer,2010-12-30,3,21,3
11,974026903,Senior Tool Designer,2010-12-05,7,23,7
4,112457891,Senior Tool Designer,2007-12-05,48,80,7
125,584205124,Shipping and Receiving Clerk,2009-01-20,94,67,94
123,337752649,Shipping and Receiving Clerk,2008-12-07,95,67,94
121,521265716,Shipping and Receiving Supervisor,2009-01-02,93,66,93
126,652779496,Stocker,2009-02-26,96,68,96
122,586486572,Stocker,2008-12-07,97,68,96
124,420776180,Stocker,2008-12-26,98,69,96
13,486228782,Tool Designer,2010-12-23,8,24,8
12,480168528,Tool Designer,2007-12-11,9,24,8
2,245797967,Vice President of Engineering,2008-01-31,1,20,1
25,519899904,Vice President of Production,2009-02-03,64,52,64
273,112432117,Vice President of Sales,2011-02-15,10,25,10
